Spot_name,City,State,Timings,Video link
Taj Mahal,Agra,Uttar Pradesh,"7:00AM - 8:00PM
(Friday holiday)",https://www.youtube.com/watch?v=ziVgeMIJdyg
Qutb Minar,New Delhi,Delhi,10 AM to 5 PM (Sunday holiday),https://www.youtube.com/watch?v=BSIz-jviTME
Akshardham,Noida,Delhi,9:30 am – 6:30 pm,www.youtube.com/watch?v=tmT-O-meA_s
Amer Fort,Jaipur,Rajasthan,8:00 am – 5:30 pm,www.youtube.com/watch?v=Bjb7nfrBJlM
City Palace,Jaipur,Rajasthan,9:00am - 9:00pm,www.youtube.com/watch?v=Pu8oKevmRWE
Lotus Temple,Bahapur,New Delhi,9:30 am – 5:30 pm,www.youtube.com/watch?v=t_diMEasVOA
"Meenakshi Amman
Temple",Madurai,Tamilnadu,4:00 am – 8:30 pm,www.youtube.com/watch?v=RGHZ5wou7VA
City Palace,Udaipur,Rajasthan, 9:30am - 16:45pm,www.youtube.com/watch?v=2YYAYAxUQuI
Gateway of India,Mumbai,Maharashtra,10:00am - 6:00 pm,www.youtube.com/watch?v=VRrnZBUGS2E
Siddhivinayak Temple,Mumbai,Maharashtra,6:am - 8:00pm,www.youtube.com/watch?v=_KigZ2swEwc
Mysore Palace,Mysuru,Karnataka,10:00 am – 5:30 pm,www.youtube.com/watch?v=O_mYaFo1WlE
Brihadeeswarar Temple,Thanjavur,Tamil Nadu,6:00 am – 9:00 pm,www.youtube.com/watch?v=x0l1E143Leg
Mehrangarh Fort,Jodhpur,Rajasthan ,9:00 hrs.–17:00 hrs,www.youtube.com/watch?v=OsCqN2GOdxQ
Golkonda,Hyderabad,Telangana , 9:00 am – 5:30 pm,www.youtube.com/watch?v=ZciUB5SxreI
Lal Bagh,Bengaluru,Karnataka ,6:00 am – 7:00 pm,www.youtube.com/watch?v=59batVrI8h4
Charminar,Hyderabad,Telangana ,9:30 am – 5:30 pm,www.youtube.com/watch?v=OYKjrtoZaYc
Mahabodhi Temple,Bodhgaya,Bihar,5:00 am – 9:00 pm,www.youtube.com/watch?v=kMzKg6fFC38
Konark Sun Temple,Konark,Odisha ,6:00 am – 8:00 pm,www.youtube.com/watch?v=1yQf2EChaAI
Nehru Zoological Park,Hyderabad,Telangana , 8:30 am – 5:00 pm,www.youtube.com/watch?v=1IPiDStaZTs
Victoria Memorial,Kolkata,West Bengal,9:00am - 6:00pm,www.youtube.com/watch?v=C_0IvslcRqU
Vaishno Devi,Katra,Jammu and Kashmir, 8:30 am – 5:00 pm,www.youtube.com/watch?v=fbq4BGlqAGM
Tirumala Venkateswara Temple,Tirupati,Andhra Pradesh,6:00 am – 7:00 pm,www.youtube.com/watch?v=9jnL3wdQYR4
Gir Forest National Park,Gir ,Gujarat,9:00 hrs.–17:00 hrs,www.youtube.com/watch?v=2cMBM4Xi5Zc
Thekkady,Thekkady,Kerala ,,www.youtube.com/watch?v=Db0bEOmqBqw
Mayajaal,Chennai,Tamil Nadu ,9:00am - 9:00pm,
